Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.84      0.47     0.47 93562500     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
 21.15      0.92     0.44 93562501     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  8.65      1.09     0.18 93561502     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  6.73      1.24     0.14 93561502     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  6.25      1.36     0.13 94319488     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  6.25      1.50     0.13 93561502     0.00     0.00  std::_Bit_iterator::operator[](long) const
  6.01      1.62     0.12 93811502     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  4.09      1.71     0.09 93564497     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.85      1.78     0.08 93612899     0.00     0.00  std::_Bit_reference::operator bool() const
  3.85      1.86     0.08        1     0.08     2.06  Graph::getEulerianCircle() const
  2.88      1.93     0.06 93562501     0.00     0.00  std::_Bit_iterator::operator+=(long)
  2.40      1.98     0.05 93912299     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  2.16      2.02     0.04 93612400     0.00     0.00  std::_Bit_iterator::operator*() const
  0.72      2.04     0.01   372754     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::back()
  0.48      2.04     0.01   372754     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator--()
  0.48      2.06     0.01   372754     0.00     0.00  std::stack<unsigned int, std::deque<unsigned int, std::allocator<unsigned int> > >::top()
  0.48      2.06     0.01   124252     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
  0.48      2.08     0.01                             operator delete(void*, void*)
